Temperature,Range Loss
42.9,-36.2142902
43,-36.4472121
43.1,-36.67944104
43.2,-36.91145712
43.3,-37.1430524
43.4,-37.37421839
43.5,-37.60494678
43.6,-37.83522935
43.7,-38.065058
43.8,-38.29442476
43.9,-38.52332177
44,-38.75174132
44.1,-38.97967579
44.2,-39.20711769
44.3,-39.43405967
44.4,-39.66049447
44.5,-39.88641498
44.6,-40.1118142
44.7,-40.33668524
44.8,-40.56102135
44.9,-40.78481589
45,-41.00806236
45.1,-41.23075434
45.2,-41.45288559
45.3,-41.67444994
45.4,-41.89544136
45.5,-42.11585395
45.6,-42.33568193
45.7,-42.55491962
45.8,-42.7735615
45.9,-42.99160213
46,-43.20903621
46.1,-43.42585857
46.2,-43.64206416
46.3,-43.85764803
46.4,-44.07260538
46.5,-44.2869315
46.6,-44.50062184
46.7,-44.71367193
46.8,-44.92607746
46.9,-45.13783422
47,-45.34893812
47.1,-45.55938519
47.2,-45.76917161
47.3,-45.97829364
47.4,-46.18674769
47.5,-46.39453028
47.6,-46.60163806
47.7,-46.80806778
47.8,-47.01381635
47.9,-47.21888076
48,-47.42325815
48.1,-47.62694576
48.2,-47.82994098
48.3,-48.03224129
48.4,-48.23384432
48.5,-48.43474779
48.6,-48.63494958
48.7,-48.83444765
48.8,-49.03324011
48.9,-49.23132519
49,-49.42870123
49.1,-49.62536669
49.2,-49.82132017
49.3,-50.01656037
49.4,-50.21108613
49.5,-50.40489639
49.6,-50.59799024
49.7,-50.79036686
49.8,-50.98202557
49.9,-51.17296581
50,-51.36318715
50.1,-51.55268925
50.2,-51.74147193
50.3,-51.92953511
50.4,-52.11687884
50.5,-52.30350328
50.6,-52.48940872
50.7,-52.67459557
50.8,-52.85906436
50.9,-53.04281575
51,-53.22585051
51.1,-53.40816954
51.2,-53.58977386
51.3,-53.77066459
51.4,-53.95084301
51.5,-54.1303105
51.6,-54.30906856
51.7,-54.48711881
51.8,-54.66446301
51.9,-54.84110301
52,-55.01704081
