Temperature,Tesla Factors,Not Tesla Factors
10.3,0.927572952,0.889043481
10.4,0.928752417,0.890694525
10.5,0.929925678,0.892339302
10.6,0.931092641,0.893977666
10.7,0.932253213,0.895609472
10.8,0.9334073,0.897234572
10.9,0.934554807,0.89885282
11.0,0.935695639,0.900464067
11.1,0.936829703,0.902068164
11.2,0.937956902,0.903664961
11.3,0.939077143,0.905254309
11.4,0.940190329,0.906836054
11.5,0.941296364,0.908410046
11.6,0.942395154,0.909976132
11.7,0.943486601,0.911534159
11.8,0.944570611,0.913083971
11.9,0.945647087,0.914625417
12.0,0.946715932,0.916158339
12.1,0.94777705,0.917682584
12.2,0.948830344,0.919197992
12.3,0.949875719,0.92070441
12.4,0.950913076,0.922201678
12.5,0.95194232,0.92368964
12.6,0.952963353,0.925168136
12.7,0.953976079,0.926637009
12.8,0.954980401,0.9280961
12.9,0.955976221,0.929545249
13.0,0.956963444,0.930984295
13.1,0.957941971,0.93241308
13.2,0.958911707,0.933831444
13.3,0.959872554,0.935239223
13.4,0.960824416,0.93663626
13.5,0.961767196,0.938022392
13.6,0.962700798,0.939397457
13.7,0.963625124,0.940761295
13.8,0.96454008,0.942113744
13.9,0.965445567,0.943454642
14.0,0.966341492,0.944783829
14.1,0.967227757,0.946101141
14.2,0.968104267,0.947406418
14.3,0.968970926,0.948699498
14.4,0.969827639,0.949980218
14.5,0.970674312,0.951248419
14.6,0.971510849,0.952503938
14.7,0.972337156,0.953746614
14.8,0.973153139,0.954976286
14.9,0.973958703,0.956192795
15.0,0.974753756,0.957395979
15.1,0.975538203,0.958585678
15.2,0.976311952,0.959761732
15.3,0.977074911,0.960923983
15.4,0.977826987,0.962072271
15.5,0.978568088,0.963206438
15.6,0.979298123,0.964326326
15.7,0.980017001,0.965431778
15.8,0.980724631,0.966522636
15.9,0.981420925,0.967598745
16.0,0.982105791,0.968659949
16.1,0.982779141,0.969706094
16.2,0.983440887,0.970737025
16.3,0.984090941,0.971752588
16.4,0.984729214,0.972752632
16.5,0.985355621,0.973737004
16.6,0.985970075,0.974705555
16.7,0.986572491,0.975658134
16.8,0.987162784,0.976594591
16.9,0.987740868,0.97751478
17.0,0.988306661,0.978418554
17.1,0.98886008,0.979305767
17.2,0.989401042,0.980176274
17.3,0.989929466,0.981029932
17.4,0.99044527,0.981866599
17.5,0.990948375,0.982686134
17.6,0.991438702,0.983488396
17.7,0.991916172,0.98427325
17.8,0.992380707,0.985040556
17.9,0.992832231,0.98579018
18.0,0.993270667,0.986521987
18.1,0.99369594,0.987235845
18.2,0.994107976,0.987931624
18.3,0.994506701,0.988609193
18.4,0.994892043,0.989268426
18.5,0.995263931,0.989909195
18.6,0.995622293,0.990531377
18.7,0.99596706,0.991134849
18.8,0.996298164,0.991719489
18.9,0.996615537,0.992285179
19.0,0.996919111,0.992831802
19.1,0.997208822,0.993359242
19.2,0.997484604,0.993867387
19.3,0.997746395,0.994356123
19.4,0.997994132,0.994825342
19.5,0.998227753,0.995274938
19.6,0.998447198,0.995704803
19.7,0.998652409,0.996114836
19.8,0.998843326,0.996504936
19.9,0.999019893,0.996875002
20.0,0.999182056,0.99722494
20.1,0.999329758,0.997554654
20.2,0.999462947,0.997864052
20.3,0.999581571,0.998153046
20.4,0.999685578,0.998421545
20.5,0.99977492,0.998669469
20.6,0.999849549,0.998896732
20.7,0.999909416,0.999103254
20.8,0.999954476,0.999288958
20.9,0.999984685,0.99945377
21.0,1.0,0.999597615
21.1,1.000000378,0.999720425
21.2,0.99998578,0.999822132
21.3,0.999956166,0.99990267
21.4,0.999911498,0.99996198
21.5,0.99985174,1.0
21.6,0.999776857,1.0
21.7,0.999686816,1.0
21.8,0.999581583,0.999985769
21.9,0.999461128,0.999938091
22.0,0.999325423,0.999868867
22.1,0.999174438,0.999778054
22.2,0.999008147,0.999665613
22.3,0.998826525,0.999531506
22.4,0.99862955,0.999375697
22.5,0.998417197,0.999198157
22.6,0.998189448,0.998998857
22.7,0.997946282,0.99877777
22.8,0.997687682,0.998534874
22.9,0.997413632,0.99827015
23.0,0.997124118,0.997983579
23.1,0.996819125,0.997675149
23.2,0.996498642,0.997344848
23.3,0.99616266,0.996992668
23.4,0.99581117,0.996618605
23.5,0.995444165,0.996222656
23.6,0.995061638,0.995804824
23.7,0.994663587,0.995365109
23.8,0.994250009,0.994903522
23.9,0.993820903,0.994420071
24.0,0.993376269,0.993914771
24.1,0.992916111,0.993387635
24.2,0.992440431,0.992838685
24.3,0.991949236,0.992267942
24.4,0.991442532,0.99167543
24.5,0.990920327,0.991061179
24.6,0.990382633,0.99042522
24.7,0.98982946,0.989767587
24.8,0.989260822,0.989088315
24.9,0.988676733,0.988387447
25.0,0.98807721,0.987665025
25.1,0.987462271,0.986921096
25.2,0.986831936,0.986155707
25.3,0.986186225,0.985368911
25.4,0.985525161,0.984560765
25.5,0.984848768,0.983731324
25.6,0.984157072,0.98288065
25.7,0.9834501,0.982008807
25.8,0.982727881,0.981115861
25.9,0.981990446,0.980201881
26.0,0.981237826,0.979266941
26.1,0.980470055,0.978311114
26.2,0.979687168,0.977334479
26.3,0.9788892,0.976337116
26.4,0.978076191,0.97531911
26.5,0.97724818,0.974280546
26.6,0.976405208,0.973221512
26.7,0.975547317,0.972142102
26.8,0.974674551,0.971042407
26.9,0.973786956,0.969922527
27.0,0.972884578,0.968782559
27.1,0.971967467,0.967622607
27.2,0.971035672,0.966442776
27.3,0.970089244,0.965243171
27.4,0.969128236,0.964023901
27.5,0.968152702,0.962785082
27.6,0.967162699,0.961526825
27.7,0.966158281,0.960249249
27.8,0.965139509,0.958952472
27.9,0.964106442,0.957636615
28.0,0.963059141,0.956301804
28.1,0.961997669,0.954948164
28.2,0.960922088,0.953575824
28.3,0.959832465,0.952184913
28.4,0.958728866,0.950775565
28.5,0.957611359,0.949347914
28.6,0.956480012,0.947902099
28.7,0.955334897,0.946438256
28.8,0.954176084,0.944956527
28.9,0.953003646,0.943457055
29.0,0.951817658,0.941939986
29.1,0.950618195,0.940405466
29.2,0.949405334,0.938853642
29.3,0.948179151,0.937284665
29.4,0.946939726,0.935698689
29.5,0.945687139,0.934095865
29.6,0.944421471,0.93247635
29.7,0.943142805,0.9308403
29.8,0.941851223,0.929187874
29.9,0.94054681,0.927519232
30.0,0.939229651,0.925834537
30.1,0.937899834,0.924133951
30.2,0.936557446,0.922417637
30.3,0.935202575,0.920685763
30.4,0.933835311,0.918938495
30.5,0.932455745,0.917176003
30.6,0.931063968,0.915398455
30.7,0.929660073,0.913606021
30.8,0.928244154,0.911798875
30.9,0.926816303,0.90997719
31.0,0.925376618,0.908141138
31.1,0.923925194,0.906290895
31.2,0.922462127,0.904426639
31.3,0.920987516,0.902548544
31.4,0.91950146,0.90065679
31.5,0.918004057,0.898751554
31.6,0.916495408,0.896833016
31.7,0.914975614,0.894901356
31.8,0.913444777,0.892956756
31.9,0.911902998,0.890999396
32.0,0.910350381,0.889029458
32.1,0.90878703,0.887047126
32.2,0.907213049,0.885052582
32.3,0.905628543,0.88304601
32.4,0.904033618,0.881027593
32.5,0.90242838,0.878997517
32.6,0.900812935,0.876955967
32.7,0.899187392,0.874903125
32.8,0.897551858,0.872839179
32.9,0.895906441,0.870764314
33.0,0.89425125,0.868678716
33.1,0.892586395,0.86658257
33.2,0.890911986,0.864476061
33.3,0.889228133,0.862359377
33.4,0.887534946,0.860232702
33.5,0.885832536,0.858096224
33.6,0.884121016,0.855950128
33.7,0.882400496,0.853794598
33.8,0.880671089,0.851629822
33.9,0.878932908,0.849455985
34.0,0.877186064,0.847273271
34.1,0.875430672,0.845081865
34.2,0.873666844,0.842881953
34.3,0.871894693,0.840673719
34.4,0.870114335,0.838457345
34.5,0.868325881,0.836233017
34.6,0.866529448,0.834000917
34.7,0.864725147,0.831761228
34.8,0.862913096,0.829514131
34.9,0.861093406,0.827259809
35.0,0.859266194,0.824998442
35.1,0.857431574,0.822730212
35.2,0.85558966,0.820455297
35.3,0.853740568,0.818173878
35.4,0.851884412,0.815886132
35.5,0.850021307,0.813592237
35.6,0.848151368,0.81129237
35.7,0.846274709,0.808986708
35.8,0.844391446,0.806675426
35.9,0.842501693,0.804358698
36.0,0.840605565,0.802036699
36.1,0.838703176,0.799709601
36.2,0.83679464,0.797377576
36.3,0.834880072,0.795040796
36.4,0.832959587,0.79269943
36.5,0.831033297,0.790353647
36.6,0.829101317,0.788003616
36.7,0.82716376,0.785649503
36.8,0.82522074,0.783291476
36.9,0.823272369,0.780929699
37.0,0.821318762,0.778564334
37.1,,0.776195547
37.2,,0.773823498
37.3,,0.771448348
37.4,,0.769070256
37.5,,0.766689381
37.6,,0.764305879
37.7,,0.761919907
37.8,,0.759531618
37.9,,0.757141167
38.0,,0.754748706
38.1,,0.752354385
38.2,,0.749958353
38.3,,0.74756076
38.4,,0.745161752
38.5,,0.742761476
38.6,,0.740360074
38.7,,0.737957691
38.8,,0.735554468
38.9,,0.733150544
39.0,,0.730746061
39.1,,0.728341153
39.2,,0.725935959
39.3,,0.723530612
39.4,,0.721125247
39.5,,0.718719995
39.6,,0.716314987
39.7,,0.713910351
39.8,,0.711506217
39.9,,0.709102709
40.0,,0.706699954
40.1,,0.704298074
40.2,,0.701897191
40.3,,0.699497427
40.4,,0.697098901
40.5,,0.694701729
40.6,,0.692306029
40.7,,0.689911915
40.8,,0.687519501
40.9,,0.685128899
41.0,,0.682740219
41.1,,0.680353571
41.2,,0.677969062
41.3,,0.675586798
41.4,,0.673206885
41.5,,0.670829424
41.6,,0.66845452
41.7,,0.666082271
41.8,,0.663712778
41.9,,0.661346137
42.0,,0.658982445
42.1,,0.656621796
42.2,,0.654264285
42.3,,0.651910003
42.4,,0.649559041
42.5,,0.647211487
42.6,,0.64486743
42.7,,0.642526957
42.8,,0.640190151
42.9,,0.637857098
43.0,,0.635527879
