Temperature,Not Tesla Factors - 10th,Not Tesla Factors - overall,Not Tesla Factors - 90th,Tesla Factors - 10th,Tesla Factors - overall,Tesla Factors - 90th
4.3,0.492711285,0.783413535,1.017034154,0.543326631,0.848764789,1.073036346
4.4,0.493759094,0.78521297,1.019375772,0.544170271,0.850160256,1.07496207
4.5,0.494809992,0.787012966,1.021718183,0.545017589,0.851554359,1.076885849
4.6,0.49586397,0.78881344,1.024061289,0.545868577,0.852947033,1.078807594
4.7,0.496921015,0.79061431,1.026404989,0.546723229,0.854338211,1.080727217
4.8,0.497981117,0.792415491,1.028749183,0.547581535,0.855727827,1.082644628
4.9,0.499044265,0.794216901,1.031093768,0.548443486,0.857115813,1.084559735
5.0,0.500110444,0.796018451,1.033438639,0.549309071,0.858502102,1.086472447
5.1,0.501179643,0.797820056,1.035783693,0.550178281,0.859886626,1.088382672
5.2,0.502251847,0.799621628,1.038128822,0.551051104,0.861269316,1.090290317
5.3,0.503327041,0.801423077,1.040473918,0.551927526,0.862650102,1.092195288
5.4,0.50440521,0.803224312,1.042818874,0.552807536,0.864028915,1.09409749
5.5,0.505486339,0.805025243,1.045163577,0.553691119,0.865405683,1.095996828
5.6,0.50657041,0.806825778,1.047507917,0.55457826,0.866780336,1.097893204
5.7,0.507657405,0.808625822,1.049851781,0.555468944,0.868152803,1.099786524
5.8,0.508747307,0.81042528,1.052195054,0.556363154,0.86952301,1.101676687
5.9,0.509840097,0.812224059,1.054537621,0.557260873,0.870890886,1.103563596
6.0,0.510935754,0.814022058,1.056879365,0.558162083,0.872256357,1.105447152
6.1,0.512034258,0.815819182,1.059220167,0.559066765,0.87361935,1.107327254
6.2,0.513135588,0.817615331,1.061559908,0.559974898,0.874979789,1.109203801
6.3,0.514239722,0.819410405,1.063898468,0.560886463,0.8763376,1.111076692
6.4,0.515346636,0.821204302,1.066235723,0.561801437,0.877692708,1.112945823
6.5,0.516456307,0.82299692,1.068571551,0.562719798,0.879045037,1.114811093
6.6,0.51756871,0.824788156,1.070905826,0.563641521,0.88039451,1.116672396
6.7,0.518683819,0.826577903,1.073238422,0.564566583,0.88174105,1.118529629
6.8,0.519801609,0.828366057,1.075569212,0.565494957,0.88308458,1.120382685
6.9,0.520922051,0.83015251,1.077898066,0.566426617,0.884425022,1.122231458
7.0,0.522045118,0.831937155,1.080224855,0.567361535,0.885762296,1.124075841
7.1,0.52317078,0.833719882,1.082549448,0.568299683,0.887096325,1.125915727
7.2,0.524299008,0.835500581,1.08487171,0.569241031,0.888427028,1.127751008
7.3,0.52542977,0.83727914,1.087191508,0.570185549,0.889754325,1.129581573
7.4,0.526563035,0.839055447,1.089508707,0.571133203,0.891078136,1.131407313
7.5,0.527698769,0.840829389,1.091823169,0.572083962,0.89239838,1.133228118
7.6,0.528836938,0.842600849,1.094134757,0.57303779,0.893714975,1.135043875
7.7,0.529977508,0.844369713,1.096443331,0.573994654,0.895027838,1.136854474
7.8,0.531120443,0.846135864,1.09874875,0.574954517,0.896336888,1.138659801
7.9,0.532265705,0.847899183,1.101050872,0.57591734,0.897642042,1.140459743
8.0,0.533413258,0.84965955,1.103349554,0.576883086,0.898943215,1.142254186
8.1,0.534563061,0.851416847,1.105644651,0.577851714,0.900240324,1.144043015
8.2,0.535715074,0.853170951,1.107936018,0.578823184,0.901533284,1.145826114
8.3,0.536869257,0.85492174,1.110223506,0.579797452,0.902822011,1.147603368
8.4,0.538025566,0.856669091,1.112506967,0.580774476,0.904106419,1.14937466
8.5,0.53918396,0.858412878,1.114786252,0.581754211,0.905386422,1.151139872
8.6,0.540344392,0.860152976,1.117061209,0.58273661,0.906661934,1.152898886
8.7,0.541506817,0.861889259,1.119331686,0.583721626,0.907932869,1.154651584
8.8,0.542671188,0.863621599,1.12159753,0.58470921,0.909199139,1.156397847
8.9,0.543837458,0.865349866,1.123858585,0.585699312,0.910460656,1.158137553
9.0,0.545005577,0.867073931,1.126114695,0.58669188,0.911717334,1.159870584
9.1,0.546175494,0.868793663,1.128365704,0.587686862,0.912969082,1.161596818
9.2,0.547347157,0.870508931,1.130611452,0.588684204,0.914215814,1.163316132
9.3,0.548520515,0.872219601,1.13285178,0.589683849,0.915457439,1.165028406
9.4,0.549695512,0.873925539,1.135086527,0.590685741,0.916693868,1.166733516
9.5,0.550872093,0.87562661,1.137315531,0.591689821,0.917925011,1.168431338
9.6,0.552050201,0.87732268,1.139538628,0.592696029,0.919150777,1.17012175
9.7,0.553229779,0.879013609,1.141755653,0.593704304,0.920371077,1.171804625
9.8,0.554410767,0.880699263,1.143966442,0.594714582,0.921585819,1.173479841
9.9,0.555593103,0.882379499,1.146170828,0.595726799,0.922794912,1.17514727
10.0,0.556776727,0.884054181,1.148368641,0.596740889,0.923998264,1.176806788
10.1,0.557961574,0.885723166,1.150559715,0.597756784,0.925195783,1.178458267
10.2,0.55914758,0.887386314,1.152743877,0.598774415,0.926387376,1.180101581
10.3,0.560334679,0.889043481,1.154920958,0.599793711,0.927572952,1.181736602
10.4,0.561522802,0.890694525,1.157090784,0.6008146,0.928752417,1.183363203
10.5,0.562711881,0.892339302,1.159253183,0.601837007,0.929925678,1.184981256
10.6,0.563901846,0.893977666,1.161407979,0.602860857,0.931092641,1.186590631
10.7,0.565092624,0.895609472,1.163554999,0.603886073,0.932253213,1.1881912
10.8,0.566284143,0.897234572,1.165694064,0.604912575,0.9334073,1.189782833
10.9,0.567476326,0.89885282,1.167824998,0.605940282,0.934554807,1.191365401
11.0,0.568669098,0.900464067,1.169947623,0.606969112,0.935695639,1.192938774
11.1,0.569862381,0.902068164,1.172061758,0.60799898,0.936829703,1.19450282
11.2,0.571056095,0.903664961,1.174167224,0.609029801,0.937956902,1.196057409
11.3,0.572250159,0.905254309,1.17626384,0.610061486,0.939077143,1.19760241
11.4,0.573444491,0.906836054,1.178351424,0.611093946,0.940190329,1.199137691
11.5,0.574639007,0.908410046,1.180429791,0.612127089,0.941296364,1.200663121
11.6,0.575833621,0.909976132,1.18249876,0.613160822,0.942395154,1.202178568
